시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세금(만원),층,건축년도,시도,구,법정동,산여부,법정동코드,PNU
부산광역시 부산진구 전포동,306-9,0306,0009,올리버그린,월세,12.28,202603,300,31,3,2011,부산광역시,부산진구,전포동,0,2623010200,2623010200003060009
부산광역시 사하구 하단동,870-169,0870,0169,현대캐슬,월세,17.91,202603,200,20,1,2002,부산광역시,사하구,하단동,0,2638010300,2638010300008700169
부산광역시 사하구 하단동,604-3,0604,0003,가림빌,월세,13.1284,202603,500,35,12,2019,부산광역시,사하구,하단동,0,2638010300,2638010300006040003
부산광역시 남구 대연동,335-8,0335,0008,오퍼스2,월세,15.17,202603,300,34,2,2011,부산광역시,남구,대연동,0,2629010600,2629010600003350008
부산광역시 남구 대연동,298-10,0298,0010,아이린9,월세,16.63,202603,300,30,3,2010,부산광역시,남구,대연동,0,2629010600,2629010600002980010
부산광역시 남구 대연동,1747-10,1747,0010,비젼하이빌,월세,12.37,202603,500,41,3,2013,부산광역시,남구,대연동,0,2629010600,2629010600017470010
부산광역시 중구 영주동,619-6,0619,0006,시크빌리지,월세,27.18,202603,"1,000",55,3,2015,부산광역시,중구,영주동,0,2611010100,2611010100006190006
부산광역시 연제구 거제동,894-5,0894,0005,골드빌,월세,15.99,202603,500,35,3,2011,부산광역시,연제구,거제동,0,2647010100,2647010100008940005
부산광역시 남구 대연동,1555-11,1555,0011,글로리아트빌B,월세,14.4,202603,100,22,3,2012,부산광역시,남구,대연동,0,2629010600,2629010600015550011
부산광역시 동래구 온천동,1404-9,1404,0009,비스타빌,월세,15.75,202603,"1,000",15,2,2011,부산광역시,동래구,온천동,0,2626010800,2626010800014040009
부산광역시 금정구 장전동,222-71,0222,0071,(222-71),월세,14.37,202603,500,30,5,2012,부산광역시,금정구,장전동,0,2641010800,2641010800002220071
부산광역시 남구 대연동,639-7,0639,0007,대연빌,월세,15.84,202603,300,30,2,2001,부산광역시,남구,대연동,0,2629010600,2629010600006390007
부산광역시 남구 대연동,571-13,0571,0013,썬샤인에코시티6,월세,11.04,202603,"4,000",30,2,2022,부산광역시,남구,대연동,0,2629010600,2629010600005710013
부산광역시 남구 대연동,571-13,0571,0013,썬샤인에코시티6,월세,10.575,202603,"5,400",20,3,2022,부산광역시,남구,대연동,0,2629010600,2629010600005710013
부산광역시 남구 대연동,571-8,0571,0008,칼리지빌,월세,18.0,202603,"2,000",28,2,2001,부산광역시,남구,대연동,0,2629010600,2629010600005710008
부산광역시 부산진구 개금동,177-114,0177,0114,정훈하우스,월세,14.57,202603,"2,000",20,2,2012,부산광역시,부산진구,개금동,0,2623011100,2623011100001770114
부산광역시 남구 대연동,286-8,0286,0008,센텀뷰2,월세,18.69,202603,"1,000",37,3,2012,부산광역시,남구,대연동,0,2629010600,2629010600002860008
부산광역시 서구 동대신동3가,68-14,0068,0014,스마트빌,월세,14.39,202603,500,41,4,2017,부산광역시,서구,동대신동3가,0,2614010300,2614010300000680014
부산광역시 서구 동대신동3가,13-23,0013,0023,에이스빌,월세,17.315,202603,"1,000",35,2,2013,부산광역시,서구,동대신동3가,0,2614010300,2614010300000130023
부산광역시 사하구 괴정동,898-2,0898,0002,에스피아트룸,월세,24.34,202603,300,33,4,2013,부산광역시,사하구,괴정동,0,2638010100,2638010100008980002
부산광역시 사하구 당리동,350-19,0350,0019,당리동도무스2,월세,14.4,202603,100,20,2,2002,부산광역시,사하구,당리동,0,2638010200,2638010200003500019
부산광역시 부산진구 전포동,361-5,0361,0005,골드빌,월세,17.29,202603,500,30,5,2012,부산광역시,부산진구,전포동,0,2623010200,2623010200003610005
부산광역시 서구 서대신동3가,61-8,0061,0008,트라움하우스,월세,16.59,202603,"3,500",38,2,2019,부산광역시,서구,서대신동3가,0,2614010600,2614010600000610008
부산광역시 수영구 광안동,100-4,0100,0004,서준빌,월세,12.86,202603,300,24,5,2011,부산광역시,수영구,광안동,0,2650010400,2650010400001000004
부산광역시 수영구 광안동,123-5,0123,0005,명성하우스,월세,22.28,202603,300,30,3,2009,부산광역시,수영구,광안동,0,2650010400,2650010400001230005
부산광역시 수영구 광안동,702-9,0702,0009,세영힐스테이,월세,20.83,202603,"2,000",66,5,2020,부산광역시,수영구,광안동,0,2650010400,2650010400007020009
부산광역시 수영구 광안동,120-256,0120,0256,MarineHouse3,전세,29.915,202603,"10,000",0,2,2018,부산광역시,수영구,광안동,0,2650010400,2650010400001200256
부산광역시 수영구 민락동,218-9,0218,0009,상운원룸,월세,26.9,202603,300,32,3,2001,부산광역시,수영구,민락동,0,2650010300,2650010300002180009
