시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세금(만원),층,건축년도,시도,구,법정동
부산광역시 금정구 장전동,442-15,442,15,(442-15),월세,19.178,202602,"2,000",40,2,2018,부산광역시,금정구,장전동
부산광역시 금정구 장전동,130-13,130,13,동림리더스홈,월세,17.09,202602,500,28,4,2012,부산광역시,금정구,장전동
부산광역시 금정구 장전동,382-15,382,15,더휴,월세,16.53,202602,500,30,2,2012,부산광역시,금정구,장전동
부산광역시 금정구 장전동,29-2,29,2,송현재,월세,13.83,202602,500,32,2,2012,부산광역시,금정구,장전동
부산광역시 금정구 구서동,1007-31,1007,31,블루아,월세,15.99,202602,500,40,2,2016,부산광역시,금정구,구서동
부산광역시 금정구 구서동,1007-10,1007,10,아트빌,월세,15.99,202602,500,34,4,2016,부산광역시,금정구,구서동
부산광역시 금정구 구서동,1007-9,1007,9,오성골든타운,월세,22.35,202602,200,42,2,2015,부산광역시,금정구,구서동
부산광역시 북구 덕천동,333-32,333,32,정우리치빌,월세,18.56,202602,500,27,5,2012,부산광역시,북구,덕천동
부산광역시 사하구 당리동,313-48,313,48,세림당리,월세,21.0,202602,200,27,3,2001,부산광역시,사하구,당리동
부산광역시 서구 부민동3가,35-4,35,4,씨엘레지던스,월세,19.44,202602,"1,000",40,2,2014,부산광역시,서구,부민동3가
부산광역시 서구 부민동3가,35-4,35,4,씨엘레지던스,월세,15.67,202602,"1,000",40,4,2014,부산광역시,서구,부민동3가
부산광역시 서구 부민동3가,35-4,35,4,씨엘레지던스,월세,16.57,202602,"1,000",45,3,2014,부산광역시,서구,부민동3가
부산광역시 연제구 거제동,89-74,89,74,월드베스트,월세,16.53,202602,500,30,2,2016,부산광역시,연제구,거제동
부산광역시 부산진구 가야동,444-31,444,31,성주원룸,월세,16.37,202602,500,45,3,2013,부산광역시,부산진구,가야동
부산광역시 남구 대연동,1724-8,1724,8,반석빌,월세,15.35,202602,500,38,2,2011,부산광역시,남구,대연동
부산광역시 남구 대연동,1725-23,1725,23,썬샤인8,월세,16.14,202602,"1,000",41,3,2018,부산광역시,남구,대연동
부산광역시 남구 대연동,571-9,571,9,션샤인에코시티5,월세,11.051,202602,"1,000",47,3,2020,부산광역시,남구,대연동
부산광역시 남구 대연동,852-32,852,32,대박하우스명,월세,16.4,202602,500,28,5,2011,부산광역시,남구,대연동
부산광역시 남구 대연동,874-18,874,18,골든레이크,월세,14.362,202602,500,30,4,2012,부산광역시,남구,대연동
부산광역시 남구 대연동,905-11,905,11,크리스탈,월세,14.41,202602,"1,000",35,3,2020,부산광역시,남구,대연동
부산광역시 남구 대연동,987-44,987,44,성산마루빌2,월세,20.37,202602,"1,000",44,4,2020,부산광역시,남구,대연동
부산광역시 남구 대연동,1355-6,1355,6,해피하우스,월세,17.75,202602,300,30,2,2010,부산광역시,남구,대연동
부산광역시 남구 대연동,1721-11,1721,11,성산로즈빌,월세,13.2,202602,500,30,4,2012,부산광역시,남구,대연동
부산광역시 남구 대연동,1283-4,1283,4,더원에코시티,월세,12.82,202602,"1,000",37,3,2020,부산광역시,남구,대연동
부산광역시 남구 대연동,39-38,39,38,해연빌딩,월세,14.35,202602,300,38,3,2010,부산광역시,남구,대연동
부산광역시 남구 대연동,43-12,43,12,미소원룸,월세,19.06,202602,500,35,3,2010,부산광역시,남구,대연동
부산광역시 남구 대연동,542-1,542,1,웰가,월세,20.79,202602,"1,000",50,3,2011,부산광역시,남구,대연동
부산광역시 남구 대연동,852-2,852,2,신춘드림원룸,전세,20.425,202602,"3,000",0,1,2002,부산광역시,남구,대연동
부산광역시 남구 대연동,1737-6,1737,6,유스타,월세,16.53,202602,500,39,4,2012,부산광역시,남구,대연동
부산광역시 남구 대연동,639-4,639,4,아다지오,월세,17.17,202602,500,34,2,2009,부산광역시,남구,대연동
부산광역시 남구 대연동,50-28,50,28,자미빌,월세,15.34,202602,300,33,4,2011,부산광역시,남구,대연동
부산광역시 남구 대연동,1723-30,1723,30,빠리지엥,월세,18.06,202602,500,33,2,2013,부산광역시,남구,대연동
부산광역시 남구 대연동,43-58,43,58,SOHO,월세,18.62,202602,500,31,3,2010,부산광역시,남구,대연동
부산광역시 남구 대연동,50-24,50,24,어울림빌,월세,13.62,202602,500,32,3,2012,부산광역시,남구,대연동
부산광역시 남구 대연동,33-14,33,14,늘조은집,월세,17.56,202602,300,31,5,2011,부산광역시,남구,대연동
부산광역시 남구 대연동,538-7,538,7,해피하우스2,월세,19.61,202602,300,30,4,2013,부산광역시,남구,대연동
부산광역시 남구 대연동,33-13,33,13,리더스빌,월세,12.26,202602,300,25,2,2012,부산광역시,남구,대연동
부산광역시 남구 대연동,635-21,635,21,세인트로렌,월세,13.07,202602,"1,000",50,3,2024,부산광역시,남구,대연동
부산광역시 남구 대연동,538-7,538,7,해피하우스2,월세,19.13,202602,300,30,4,2013,부산광역시,남구,대연동
부산광역시 남구 대연동,635-3,635,3,비전하우스,월세,16.32,202602,500,42,4,2012,부산광역시,남구,대연동
부산광역시 남구 대연동,6-27,6,27,유니온해오름,월세,28.35,202602,400,36,2,2004,부산광역시,남구,대연동
부산광역시 남구 대연동,50-25,50,25,해든빌,월세,17.5,202602,300,32,3,2012,부산광역시,남구,대연동
부산광역시 남구 대연동,511-4,511,4,홍림하우스,월세,15.78,202602,300,29,4,2013,부산광역시,남구,대연동
부산광역시 남구 대연동,1721-16,1721,16,하이츠원룸4차,월세,23.46,202602,500,30,2,2002,부산광역시,남구,대연동
부산광역시 남구 대연동,377-1,377,1,씨디빌원,월세,23.82,202602,300,28,3,2011,부산광역시,남구,대연동
부산광역시 남구 대연동,874-11,874,11,센텀에이스1,월세,13.45,202602,500,26,3,2018,부산광역시,남구,대연동
부산광역시 사하구 하단동,497-24,497,24,SH타워,전세,16.15,202602,"5,900",0,8,2012,부산광역시,사하구,하단동
부산광역시 사하구 하단동,497-4,497,4,JK캐슬,월세,15.28,202602,"2,000",18,3,2019,부산광역시,사하구,하단동
부산광역시 사하구 하단동,492-19,492,19,린다프레스티지,월세,15.15,202602,"5,000",10,2,2021,부산광역시,사하구,하단동
부산광역시 사하구 하단동,510-2,510,2,아인스,월세,15.255,202602,300,23,5,2012,부산광역시,사하구,하단동
부산광역시 사하구 하단동,618-36,618,36,듀크빌,월세,19.25,202602,500,29,5,2012,부산광역시,사하구,하단동
부산광역시 부산진구 전포동,661-8,661,8,세경스타빌,월세,18.5,202602,500,31,6,2012,부산광역시,부산진구,전포동
부산광역시 부산진구 전포동,347-13,347,13,이리나,월세,16.77,202602,"9,000",2,6,2019,부산광역시,부산진구,전포동
부산광역시 부산진구 전포동,662-17,662,17,더휴캐슬랜드,월세,15.91,202602,500,45,4,2013,부산광역시,부산진구,전포동
부산광역시 남구 용당동,467-1,467,1,원빌라,월세,15.28,202602,100,32,2,2002,부산광역시,남구,용당동
부산광역시 영도구 동삼동,420-5,420,5,쁘띠빌,월세,15.1727,202602,500,30,2,2012,부산광역시,영도구,동삼동
부산광역시 영도구 동삼동,237-19,237,19,해양빌,월세,18.27,202602,300,33,4,2012,부산광역시,영도구,동삼동
부산광역시 서구 토성동2가,1-2,1,2,대경하우스,월세,14.65,202602,"2,000",35,8,2016,부산광역시,서구,토성동2가
